7zip 26.02-1
aspnet-runtime 10.0.10.sdk110-1
aspnet-runtime-8.0 8.0.29.sdk129-1
aspnet-runtime-9.0 9.0.18.sdk119-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bluetui 0.8.1-2
brightnessctl 0.5.1-3
btop 1.4.7-1
cava 0.10.7-1
chromium 150.0.7871.186-1
cliphist 1:0.7.0-2
cmatrix 2.0-4
composer 2.10.2-1
cups 2:2.4.19-1
cups-pdf 3.0.3-1
dbeaver 26.1.3-1
discord 1:1.0.151-1
docker 1:29.6.2-1
docker-compose 5.3.1-1
dos2unix 7.5.6-1
dotnet-runtime 10.0.10.sdk110-1
dotnet-runtime-9.0 9.0.18.sdk119-1
dotnet-sdk 10.0.10.sdk110-1
dotnet-sdk-8.0 8.0.29.sdk129-1
dotnet-sdk-9.0 9.0.18.sdk119-1
efibootmgr 18-4
fastfetch 2.66.0-1
fd 10.4.2-2
firefox 153.0.1-1
flatpak 1:1.18.0-1
flatpak-builder 1.4.10-1
foliate 3.3.0-3
fzf 0.74.1-1
git 2.55.0-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.8-1
imagemagick 7.1.2.29-1
intel-media-driver 26.1.5-1
intel-ucode 20260512-1
iwd 3.12-1
jq 1.8.2-1
kitty 0.48.1-1
lazygit 0.63.1-1
less 1:704-1
lib32-mesa 1:26.1.5-1
lib32-vulkan-intel 1:26.1.5-1
libpulse 17.0+r98+gb096704c0-1
libreoffice-fresh 26.2.5-1
libva-intel-driver 2.4.5-1
lightdm 1:1.32.0-9
lightdm-gtk-greeter 1:2.0.9-2
linux 7.1.5.arch1-2
linux-firmware 20260622-1
linux-lts 6.18.40-3
lshw B.02.20-3
luarocks 3.13.0-5
mako 1.11.0-1
mariadb 12.3.2-3
mpv 1:0.41.0-3
nano 9.1-1
ncdu 2.9.2-1
nemo 6.6.4-1
neovim 0.12.4-1
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
noto-fonts 1:2026.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.1-1
ntfs-3g 2026.7.7-1
obs-studio 32.1.2-7
obsidian 1.12.7-3
pavucontrol 1:6.2-1
php 8.5.9-1
php-sqlite 8.5.9-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pnpm 11.3.0-1
postgresql 18.4-3
python-pip 26.1.2-1
qbittorrent 5.2.3-3
qt6-wayland 6.11.1-1
reflector 2023-5
rofi 2.0.0-1
seatd 0.9.3-1
slurp 1.5.0-2
smartmontools 7.5-1
sof-firmware 2025.12.2-1
speedcrunch 0.12.0-5
sqlitebrowser 3.13.1-3
steam 1.0.0.87-1
sway 1:1.12-4
swaybg 1.2.2-1
swayidle 1.9.0-1
swayimg 5.4-2
timeshift 25.12.4-1
tk 8.6.16-1
tlp 1.10.2-1
tlp-rdw 1.10.2-1
tmux 3.7_b-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
typescript 6.0.3-1
typescript-language-server 5.1.3-1
ueberzugpp 2.9.10-1
ufw 0.36.2-7
vim 9.2.0849-1
vulkan-intel 1:26.1.5-1
vulkan-nouveau 1:26.1.5-1
vulkan-radeon 1:26.1.5-1
waybar 0.15.0-2
wget 1.25.0-6
wireless_tools 30.pre9-5
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-wlr 0.8.2-1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.24-1
xorg-xinit 1.4.4-1
xorg-xwayland 24.1.13-1
yazi 26.5.6-4
zram-generator 1.2.1-1
zsh 5.9.2-1
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-syntax-highlighting 0.8.0-2
